month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202604,36260,"Ogden, UT",106.0,529900.0,0.0132,-0.0391,1474,0.0819,0.0311,44.0,-0.0745,-0.0114,878.0,0.1344,0.0281,34.0,0.1333,-0.2609,0.0109,0.0005,-0.0039,758.0,0.1881,-0.0026,0.2398,0.0198,-0.0053,816.0,0.0442,-0.0031,242.0,-0.0022,0.012,2214.0,0.0186,-0.0632,739571.0,-0.0074,0.052,2289.0,0.0734,0.0185,0.5534,-0.02,-0.019,0
202604,27420,"Jamestown, ND",876.0,322250.0,0.198,0.3153,28,-0.0351,-0.1406,68.0,0.0669,-0.0751,16.0,1.0,0.0,0.0,,,0.0,0.0,0.0,4.0,0.0,-0.3333,0.0607,-0.0069,-0.0341,22.0,0.075,0.0,122.0,-0.0376,-0.0104,2400.0,0.087,0.1773,353391.0,0.0081,-0.1316,49.0,0.0,-0.0935,0.7818,0.0801,0.1099,0
202604,40580,"Rocky Mount, NC",282.0,288239.0,-0.0022,-0.0366,529,0.0665,0.2491,59.0,-0.0208,0.0217,190.0,0.0,0.0795,24.0,-0.3333,1.0,0.0262,-0.0133,0.0118,180.0,0.1842,0.1538,0.1929,0.023,0.009,198.0,-0.0412,-0.2326,155.0,-0.0113,-0.0195,1792.0,0.0039,-0.0042,311347.0,0.0037,-0.0292,722.0,0.0169,0.0712,0.3743,-0.042,-0.2349,0
202604,19430,"Dayton-Kettering-Beavercreek, OH",67.0,258125.0,0.0538,0.045,1258,0.0697,0.1846,36.0,-0.2447,-0.0139,1248.0,0.1642,0.1492,14.0,-0.2222,-0.2222,0.0036,-0.0019,-0.0017,714.0,0.2888,0.2268,0.1831,0.0217,0.0198,1362.0,0.1818,0.0353,154.0,0.0145,0.0162,1614.0,0.0204,0.0214,302897.0,0.04,0.0197,2608.0,0.1242,0.1007,1.0827,0.1027,-0.156,0
202604,49420,"Yakima, WA",220.0,430000.0,-0.0034,0.0244,461,0.0501,0.2493,45.0,0.0227,0.0714,218.0,0.0481,0.09,6.0,,2.0,0.0063,0.0063,0.0038,152.0,0.2258,0.5833,0.1649,0.0193,0.0436,211.0,0.0048,-0.0474,241.0,-0.0072,-0.0232,1846.0,0.023,0.0217,499882.0,0.0184,-0.0169,670.0,0.0348,0.1415,0.4577,-0.0207,-0.1426,0
202604,24500,"Great Falls, MT",430.0,426250.0,0.0086,0.0303,177,0.0057,0.3511,48.0,-0.0732,0.2179,108.0,0.0385,-0.1429,0.0,,,0.0,0.0,0.0,54.0,-0.129,0.5,0.1353,-0.0298,0.0092,118.0,0.108,0.4658,220.0,0.0394,0.0574,2042.0,-0.0038,-0.0438,592587.0,0.0257,-0.0854,295.0,0.037,0.4091,0.6667,0.0616,0.0522,0
202604,31680,"Malvern, AR",817.0,241250.0,-0.0369,0.0675,97,-0.0631,0.1221,58.0,0.0088,0.1386,28.0,-0.3,-0.125,0.0,,,0.0,0.0,0.0,24.0,-0.2,0.0909,0.1477,-0.0381,-0.0019,42.0,0.037,0.037,140.0,0.0302,0.0556,1642.0,-0.0465,-0.0476,338618.0,-0.0386,0.0092,136.0,0.0423,0.1435,0.4352,0.042,-0.0357,0
202604,18180,"Concord, NH",278.0,573100.0,0.0812,0.0663,198,0.2036,0.4093,30.0,-0.2941,0.0,208.0,0.284,0.2235,4.0,0.0,1.0,0.0067,-0.0016,0.0034,48.0,0.2632,0.2,0.084,0.0079,0.0022,188.0,0.1713,0.0743,280.0,0.0108,0.0044,2069.0,0.0288,0.0707,671085.0,0.0345,0.0378,386.0,0.184,0.2235,0.9495,-0.0262,-0.2961,0
202604,25420,"Harrisburg-Carlisle, PA",93.0,342500.0,0.0075,-0.0452,824,0.0674,0.1273,34.0,-0.0629,0.0984,720.0,0.1321,0.0682,22.0,-0.2667,-0.2667,0.0091,-0.0056,-0.0049,290.0,0.0985,0.2288,0.1273,-0.001,0.0179,827.0,0.1816,0.1087,180.0,-0.0108,-0.0147,1898.0,0.0143,-0.0319,398155.0,0.008,-0.0634,1651.0,0.122,0.1182,1.0036,0.097,-0.0169,0
202604,10420,"Akron, OH",79.0,222450.0,-0.0307,-0.0449,848,0.015,0.0437,37.0,-0.0581,0.1061,788.0,-0.0025,-0.0816,6.0,-0.25,-0.4,0.0022,-0.001,-0.0019,342.0,0.1032,0.1554,0.1291,-0.0033,0.0122,940.0,0.1967,0.0562,143.0,-0.005,-0.0129,1639.0,-0.0124,-0.0282,314382.0,-0.004,-0.0209,1805.0,0.1125,0.0605,1.1085,0.1683,0.0131,0
